Machine_ID,Client_Name,Operating_Hours,Temperature_C,Vibration_mm_s,Pressure_PSI,Last_Service_Days,Failure_in_Next_30_Days
M-0001,Alpha Corp,7270,72.28996392459341,1.0549714371816514,116.1381886790982,94,0
M-0002,Alpha Corp,860,51.42098548601713,1.1174518625940622,103.6111310102365,181,0
M-0003,Gamma Solutions,5390,76.03247500571393,5.476290634733358,88.57899235841833,64,0
M-0004,Beta Industries,5191,72.98158465990525,3.6363496905151917,96.37899543860053,4,0
M-0005,Beta Industries,5734,76.38660168643102,0.2645917359022154,116.79559484858088,94,0
M-0006,Beta Industries,6265,80.5811832508715,0.6903948833551132,126.09677040199063,272,0
M-0007,Alpha Corp,466,73.67619840209711,0.8273573157888788,113.91299262082964,283,0
M-0008,Epsilon Tech,4426,71.48089419798276,0.670680200468447,121.99830934558975,132,0
M-0009,Alpha Corp,5578,61.18931663338708,2.402918799080498,120.61517366040864,72,0
M-0010,Epsilon Tech,8322,62.87779236350949,1.1136248493894108,117.59801587078877,304,1
M-0011,Delta Mfg,1685,81.86734620177332,1.2732979917346934,100.12289607108116,81,0
M-0012,Alpha Corp,769,84.36335405705978,2.8761224017060303,112.60885267962729,174,0
M-0013,Alpha Corp,6949,67.61889563687946,2.459290267888697,97.27433294176792,300,0
M-0014,Alpha Corp,2433,70.46002747253274,0.21271092585619428,110.26143429437153,52,0
M-0015,Beta Industries,5311,60.95385625006234,1.8771972835517907,114.96295296600368,290,0
M-0016,Beta Industries,5051,81.72756845267445,0.8575526332086114,135.18175711080283,237,0
M-0017,Epsilon Tech,6420,76.65416823691778,0.5235893854427827,90.35402038448552,277,0
M-0018,Epsilon Tech,1184,89.4121743646375,0.07696965908967907,117.22261446486958,280,0
M-0019,Alpha Corp,4555,61.21676922820261,1.0019490368786181,132.21854887435393,44,0
M-0020,Epsilon Tech,3385,66.21992100981782,0.6587733237749719,121.38271648758194,254,0
M-0021,Beta Industries,6396,72.31445922525572,0.43455224452733787,122.49418164237562,359,1
M-0022,Epsilon Tech,8666,76.4648953772577,1.7795516771445268,118.81542352801718,134,0
M-0023,Delta Mfg,9274,67.84332362452368,2.2011615344413005,129.47501734663126,56,0
M-0024,Beta Industries,2558,61.270389095462995,0.4211381787649749,93.68782747831447,14,0
M-0025,Delta Mfg,7849,78.81407528923572,0.07606772681565292,89.2111000104463,178,0
M-0026,Epsilon Tech,2047,77.21135362545581,2.833258555811023,109.90498789302116,101,0
M-0027,Gamma Solutions,2747,60.83725899436275,0.015014506845179666,80.0,180,0
M-0028,Alpha Corp,9167,83.55442801105495,4.149611649761297,128.45968706267016,257,0
M-0029,Beta Industries,9998,81.70198709196603,1.481760153455714,128.31072793243163,268,1
M-0030,Delta Mfg,189,71.34296497247793,0.5825727222803098,103.4997416737321,362,0
M-0031,Gamma Solutions,2734,70.79597862376036,0.42449541639105115,104.43844105009235,37,0
M-0032,Gamma Solutions,3005,75.54057771115907,0.013569690561467198,108.91478787273994,204,0
M-0033,Beta Industries,4658,61.38296929743742,0.4027437997364529,110.78030975659429,259,0
M-0034,Beta Industries,1899,70.30031479164082,0.2222772937895149,111.90760878791428,155,0
M-0035,Gamma Solutions,7734,48.4761645539082,1.420767652613513,118.37348160317455,238,0
M-0036,Alpha Corp,1267,78.76455645502935,0.2732644104909326,107.41060470487282,309,0
M-0037,Alpha Corp,1528,54.385067775581405,1.1281673790956936,124.1478995521669,100,0
M-0038,Delta Mfg,3556,85.03419828428999,1.3378231748173832,116.68921665687955,273,0
M-0039,Alpha Corp,3890,66.6987990603355,0.5308219141126749,100.89554831191047,113,0
M-0040,Gamma Solutions,8838,67.88333018068823,0.053541726886234445,130.02669001706147,110,0
M-0041,Gamma Solutions,5393,63.72266093915494,0.05694830558287298,89.6261452081627,143,0
M-0042,Epsilon Tech,8792,67.11961126077924,0.04005096424962547,108.61751283767785,167,1
M-0043,Gamma Solutions,8433,84.18531345148037,2.0155689564533934,124.50376101613202,260,0
M-0044,Alpha Corp,7513,45.12191343464921,0.5741097767593648,99.15390342631783,145,0
M-0045,Delta Mfg,2612,82.76965386088187,2.3866618030478395,114.64333470150727,230,1
